"Periodo(MMM, AAAA)";"Tasa de desempleo - total nacional";"Tasa de ocupación - total nacional";"Archivo"
"2008/01/31";13,3;54,65;"Mercado laboral y población"
"2008/02/29";12,19;56,67;"Mercado laboral y población"
"2008/03/31";11,34;57,39;"Mercado laboral y población"
"2008/04/30";11,08;57,92;"Mercado laboral y población"
"2008/05/31";10,81;57,53;"Mercado laboral y población"
"2008/06/30";11,41;55,33;"Mercado laboral y población"
"2008/07/31";12,21;56,26;"Mercado laboral y población"
"2008/08/31";11,43;56,17;"Mercado laboral y población"
"2008/09/30";11,05;56,84;"Mercado laboral y población"
"2008/10/31";10,18;57,08;"Mercado laboral y población"
"2008/11/30";10,91;55,66;"Mercado laboral y población"
"2008/12/31";10,77;57,04;"Mercado laboral y población"
"2009/01/31";14,47;54,66;"Mercado laboral y población"
"2009/02/28";12,77;56,83;"Mercado laboral y población"
"2009/03/31";12,19;57,88;"Mercado laboral y población"
"2009/04/30";12,12;58,96;"Mercado laboral y población"
"2009/05/31";11,76;59,21;"Mercado laboral y población"
"2009/06/30";11,6;58,92;"Mercado laboral y población"
"2009/07/31";12,84;58,6;"Mercado laboral y población"
"2009/08/31";11,94;57,72;"Mercado laboral y población"
"2009/09/30";12,44;57,89;"Mercado laboral y población"
"2009/10/31";11,76;60,82;"Mercado laboral y población"
"2009/11/30";11,39;60,34;"Mercado laboral y población"
"2009/12/31";11,31;60,02;"Mercado laboral y población"
"2010/01/31";14,88;57,25;"Mercado laboral y población"
"2010/02/28";12,69;58,96;"Mercado laboral y población"
"2010/03/31";11,96;58,57;"Mercado laboral y población"
"2010/04/30";12,44;59,81;"Mercado laboral y población"
"2010/05/31";12,26;59,03;"Mercado laboral y población"
"2010/06/30";11,98;59,55;"Mercado laboral y población"
"2010/07/31";12,86;58,9;"Mercado laboral y población"
"2010/08/31";11,38;59,59;"Mercado laboral y población"
"2010/09/30";10,87;60,82;"Mercado laboral y población"
"2010/10/31";10,45;61,54;"Mercado laboral y población"
"2010/11/30";10,93;61,01;"Mercado laboral y población"
"2010/12/31";11,23;60,08;"Mercado laboral y población"
"2011/01/31";13,9;58,38;"Mercado laboral y población"
"2011/02/28";13,14;58,4;"Mercado laboral y población"
"2011/03/31";10,95;59,97;"Mercado laboral y población"
"2011/04/30";11,27;59,8;"Mercado laboral y población"
"2011/05/31";11,55;60,24;"Mercado laboral y población"
"2011/06/30";11,04;60,08;"Mercado laboral y población"
"2011/07/31";11,7;59,91;"Mercado laboral y población"
"2011/08/31";10,42;59,96;"Mercado laboral y población"
"2011/09/30";9,93;61,45;"Mercado laboral y población"
"2011/10/31";9,36;64,01;"Mercado laboral y población"
"2011/11/30";9,49;62,93;"Mercado laboral y población"
"2011/12/31";10,07;61,62;"Mercado laboral y población"
"2012/01/31";12,79;59,67;"Mercado laboral y población"
"2012/02/29";12,07;60,51;"Mercado laboral y población"
"2012/03/31";10,5;61,55;"Mercado laboral y población"
"2012/04/30";11,09;61,19;"Mercado laboral y población"
"2012/05/31";10,99;61,52;"Mercado laboral y población"
"2012/06/30";10,24;62,36;"Mercado laboral y población"
"2012/07/31";11,16;60,53;"Mercado laboral y población"
"2012/08/31";9,99;61,57;"Mercado laboral y población"
"2012/09/30";10,14;60,74;"Mercado laboral y población"
"2012/10/31";9,17;62,73;"Mercado laboral y población"
"2012/11/30";9,46;61,61;"Mercado laboral y población"
"2012/12/31";9,94;61,5;"Mercado laboral y población"
"2013/01/31";12,34;59,39;"Mercado laboral y población"
"2013/02/28";12,01;59,38;"Mercado laboral y población"
"2013/03/31";10,38;59,78;"Mercado laboral y población"
"2013/04/30";10,45;60,44;"Mercado laboral y población"
"2013/05/31";9,82;61,77;"Mercado laboral y población"
"2013/06/30";9,51;61,06;"Mercado laboral y población"
"2013/07/31";10,16;61,05;"Mercado laboral y población"
"2013/08/31";9,66;61,43;"Mercado laboral y población"
"2013/09/30";9,17;61,29;"Mercado laboral y población"
"2013/10/31";8,13;63,45;"Mercado laboral y población"
"2013/11/30";8,63;61,8;"Mercado laboral y población"
"2013/12/31";8,65;61,74;"Mercado laboral y población"
"2014/01/31";11,53;59,33;"Mercado laboral y población"
"2014/02/28";11,09;59,37;"Mercado laboral y población"
"2014/03/31";9,84;60,04;"Mercado laboral y población"
"2014/04/30";9,31;61,21;"Mercado laboral y población"
"2014/05/31";9,07;61,25;"Mercado laboral y población"
"2014/06/30";9,4;61,29;"Mercado laboral y población"
"2014/07/31";9,69;60,36;"Mercado laboral y población"
"2014/08/31";9,16;61,49;"Mercado laboral y población"
"2014/09/30";8,61;61,73;"Mercado laboral y población"
"2014/10/31";8,1;63,61;"Mercado laboral y población"
"2014/11/30";8,06;62,55;"Mercado laboral y población"
"2014/12/31";9,04;60,88;"Mercado laboral y población"
"2015/01/31";11,15;59,17;"Mercado laboral y población"
"2015/02/28";10,23;59,96;"Mercado laboral y población"
"2015/03/31";9,12;60,73;"Mercado laboral y población"
"2015/04/30";9,74;61,43;"Mercado laboral y población"
"2015/05/31";9,22;61,35;"Mercado laboral y población"
"2015/06/30";8,5;61,59;"Mercado laboral y población"
"2015/07/31";9,22;60,83;"Mercado laboral y población"
"2015/08/31";9,3;61,19;"Mercado laboral y población"
"2015/09/30";9,07;61,27;"Mercado laboral y población"
"2015/10/31";8,44;63,29;"Mercado laboral y población"
"2015/11/30";7,56;62,93;"Mercado laboral y población"
"2015/12/31";8,82;61,52;"Mercado laboral y población"
"2016/01/31";12,18;58,96;"Mercado laboral y población"
"2016/02/29";10,37;59,89;"Mercado laboral y población"
"2016/03/31";10,46;59,19;"Mercado laboral y población"
"2016/04/30";9,32;61,19;"Mercado laboral y población"
"2016/05/31";9,24;60,23;"Mercado laboral y población"
"2016/06/30";9,19;61,09;"Mercado laboral y población"
"2016/07/31";10,2;59,35;"Mercado laboral y población"
"2016/08/31";9,23;60,54;"Mercado laboral y población"
"2016/09/30";8,85;60,48;"Mercado laboral y población"
"2016/10/31";8,63;62,26;"Mercado laboral y población"
"2016/11/30";7,77;61,98;"Mercado laboral y población"
"2016/12/31";9,1;60,71;"Mercado laboral y población"
"2017/01/31";11,96;58,3;"Mercado laboral y población"
"2017/02/28";10,87;59,13;"Mercado laboral y población"
"2017/03/31";9,9;59,24;"Mercado laboral y población"
"2017/04/30";9,14;60,87;"Mercado laboral y población"
"2017/05/31";9,84;59,84;"Mercado laboral y población"
"2017/06/30";8,98;61,32;"Mercado laboral y población"
"2017/07/31";9,94;59,43;"Mercado laboral y población"
"2017/08/31";9,52;60,12;"Mercado laboral y población"
"2017/09/30";9,55;59,7;"Mercado laboral y población"
"2017/10/31";8,74;61,36;"Mercado laboral y población"
"2017/11/30";8,76;60,61;"Mercado laboral y población"
"2017/12/31";8,91;60,21;"Mercado laboral y población"
"2018/01/31";12,14;57,39;"Mercado laboral y población"
"2018/02/28";11,19;57,83;"Mercado laboral y población"
"2018/03/31";9,77;58,73;"Mercado laboral y población"
"2018/04/30";9,73;59,84;"Mercado laboral y población"
"2018/05/31";9,98;59,25;"Mercado laboral y población"
"2018/06/30";9,31;59,89;"Mercado laboral y población"
"2018/07/31";10,04;58,88;"Mercado laboral y población"
"2018/08/31";9,43;59,59;"Mercado laboral y población"
"2018/09/30";9,67;59,47;"Mercado laboral y población"
"2018/10/31";9,36;60,07;"Mercado laboral y población"
"2018/11/30";8,99;58,8;"Mercado laboral y población"
"2018/12/31";9,99;59,78;"Mercado laboral y población"
"2019/01/31";13,08;56,47;"Mercado laboral y población"
"2019/02/28";12,09;57,55;"Mercado laboral y población"
"2019/03/31";11,18;57,68;"Mercado laboral y población"
"2019/04/30";10,66;57,31;"Mercado laboral y población"
"2019/05/31";10,95;57,58;"Mercado laboral y población"
"2019/06/30";9,72;58,78;"Mercado laboral y población"
"2019/07/31";11,28;57,08;"Mercado laboral y población"
"2019/08/31";11,2;56,86;"Mercado laboral y población"
"2019/09/30";10,8;57,36;"Mercado laboral y población"
"2019/10/31";10,12;58,86;"Mercado laboral y población"
"2019/11/30";9,62;58,74;"Mercado laboral y población"
"2019/12/31";9,95;58,19;"Mercado laboral y población"
"2020/01/31";13,46;55,33;"Mercado laboral y población"
"2020/02/29";12,81;56,07;"Mercado laboral y población"
"2020/03/31";13,18;52,45;"Mercado laboral y población"
"2020/04/30";20,49;42,5;"Mercado laboral y población"
"2020/05/31";21,97;44,24;"Mercado laboral y población"
"2020/06/30";20,36;46,89;"Mercado laboral y población"
"2020/07/31";20,91;45,95;"Mercado laboral y población"
"2020/08/31";17,44;49,73;"Mercado laboral y población"
"2020/09/30";16,29;51,07;"Mercado laboral y población"
"2020/10/31";15,28;53,66;"Mercado laboral y población"
"2020/11/30";13,91;53,55;"Mercado laboral y población"
"2020/12/31";13,91;53,74;"Mercado laboral y población"
"2021/01/31";17,56;50,08;"Mercado laboral y población"
"2021/02/28";15,59;52,77;"Mercado laboral y población"
"2021/03/31";14,73;52,53;"Mercado laboral y población"
"2021/04/30";15,49;51,57;"Mercado laboral y población"
"2021/05/31";15,2;52,11;"Mercado laboral y población"
"2021/06/30";14,65;52,25;"Mercado laboral y población"
"2021/07/31";13,06;53,09;"Mercado laboral y población"
"2021/08/31";12,86;53,43;"Mercado laboral y población"
"2021/09/30";11,96;53,63;"Mercado laboral y población"
"2021/10/31";12;54,61;"Mercado laboral y población"
"2021/11/30";11,53;55,02;"Mercado laboral y población"
"2021/12/31";11,1;55,54;"Mercado laboral y población"
"2022/01/31";14,65;53,41;"Mercado laboral y población"
"2022/02/28";12,91;55,88;"Mercado laboral y población"
"2022/03/31";12,12;55,82;"Mercado laboral y población"
"2022/04/30";11,17;56,47;"Mercado laboral y población"
"2022/05/31";10,65;56,99;"Mercado laboral y población"
"2022/06/30";11,26;56,5;"Mercado laboral y población"
"2022/07/31";10,99;56,53;"Mercado laboral y población"
"2022/08/31";10,63;56,73;"Mercado laboral y población"
"2022/09/30";10,75;57,25;"Mercado laboral y población"
"2022/10/31";9,72;57,74;"Mercado laboral y población"
"2022/11/30";9,5;57,36;"Mercado laboral y población"
"2022/12/31";10,27;57,25;"Mercado laboral y población"
"2023/01/31";13,7;54,7;"Mercado laboral y población"
"2023/02/28";11,35;56,52;"Mercado laboral y población"
"2023/03/31";10,03;57,88;"Mercado laboral y población"
"2023/04/30";10,72;57,68;"Mercado laboral y población"
"2023/05/31";10,48;57,17;"Mercado laboral y población"
"2023/06/30";9,34;58,32;"Mercado laboral y población"
"2023/07/31";9,57;58,59;"Mercado laboral y población"
"2023/08/31";9,28;58,47;"Mercado laboral y población"
"2023/09/30";9,25;58,25;"Mercado laboral y población"
"2023/10/31";9,23;58,12;"Mercado laboral y población"
"2023/11/30";9,01;58,31;"Mercado laboral y población"
"2023/12/31";10,01;57,43;"Mercado laboral y población"
"2024/01/31";12,66;55,26;"Mercado laboral y población"
"2024/02/29";11,67;56,36;"Mercado laboral y población"
"2024/03/31";11,29;56,68;"Mercado laboral y población"
"2024/04/30";10,65;57,16;"Mercado laboral y población"
"2024/05/31";10,31;57,5;"Mercado laboral y población"
"2024/06/30";10,27;57,16;"Mercado laboral y población"
"2024/07/31";9,92;57,8;"Mercado laboral y población"
"2024/08/31";9,66;58,27;"Mercado laboral y población"
"2024/09/30";9,13;57,69;"Mercado laboral y población"
"2024/10/31";9,13;58,07;"Mercado laboral y población"
"2024/11/30";8,17;58,53;"Mercado laboral y población"
"2024/12/31";9,13;58,5;"Mercado laboral y población"
"2025/01/31";11,64;56,66;"Mercado laboral y población"
"2025/02/28";10,33;57,99;"Mercado laboral y población"
"2025/03/31";9,62;58,5;"Mercado laboral y población"
"2025/04/30";8,78;58,13;"Mercado laboral y población"
"2025/05/31";9,04;58,19;"Mercado laboral y población"
"2025/06/30";8,55;58,43;"Mercado laboral y población"
"2025/07/31";8,84;58,9;"Mercado laboral y población"
"2025/08/31";8,6;58,44;"Mercado laboral y población"
"2025/09/30";8,17;58,66;"Mercado laboral y población"
"2025/10/31";8,2;59,68;"Mercado laboral y población"
"2025/11/30";7,02;60,17;"Mercado laboral y población"
"2025/12/31";7,98;59,19;"Mercado laboral y población"
"2026/01/31";10,86;56,69;"Mercado laboral y población"
"2026/02/28";9,23;58,74;"Mercado laboral y población"
"2026/03/31";8,79;59,31;"Mercado laboral y población"
"2026/04/30";8,78;59,06;"Mercado laboral y población"
