"Periodo(MMM DD, AAAA)";"Unidad de Valor Real (UVR)";"Archivo"
"2015/07/31";222,8086;"UVR_Unidad de valor real"
"2015/08/01";222,8158;"UVR_Unidad de valor real"
"2015/08/02";222,823;"UVR_Unidad de valor real"
"2015/08/03";222,8302;"UVR_Unidad de valor real"
"2015/08/04";222,8373;"UVR_Unidad de valor real"
"2015/08/05";222,8445;"UVR_Unidad de valor real"
"2015/08/06";222,8517;"UVR_Unidad de valor real"
"2015/08/07";222,8589;"UVR_Unidad de valor real"
"2015/08/08";222,8661;"UVR_Unidad de valor real"
"2015/08/09";222,8733;"UVR_Unidad de valor real"
"2015/08/10";222,8805;"UVR_Unidad de valor real"
"2015/08/11";222,8876;"UVR_Unidad de valor real"
"2015/08/12";222,8948;"UVR_Unidad de valor real"
"2015/08/13";222,902;"UVR_Unidad de valor real"
"2015/08/14";222,9092;"UVR_Unidad de valor real"
"2015/08/15";222,9164;"UVR_Unidad de valor real"
"2015/08/16";222,9301;"UVR_Unidad de valor real"
"2015/08/17";222,9437;"UVR_Unidad de valor real"
"2015/08/18";222,9574;"UVR_Unidad de valor real"
"2015/08/19";222,971;"UVR_Unidad de valor real"
"2015/08/20";222,9847;"UVR_Unidad de valor real"
"2015/08/21";222,9983;"UVR_Unidad de valor real"
"2015/08/22";223,012;"UVR_Unidad de valor real"
"2015/08/23";223,0256;"UVR_Unidad de valor real"
"2015/08/24";223,0393;"UVR_Unidad de valor real"
"2015/08/25";223,0529;"UVR_Unidad de valor real"
"2015/08/26";223,0666;"UVR_Unidad de valor real"
"2015/08/27";223,0803;"UVR_Unidad de valor real"
"2015/08/28";223,0939;"UVR_Unidad de valor real"
"2015/08/29";223,1076;"UVR_Unidad de valor real"
"2015/08/30";223,1212;"UVR_Unidad de valor real"
"2015/08/31";223,1349;"UVR_Unidad de valor real"
"2015/09/01";223,1486;"UVR_Unidad de valor real"
"2015/09/02";223,1622;"UVR_Unidad de valor real"
"2015/09/03";223,1759;"UVR_Unidad de valor real"
"2015/09/04";223,1896;"UVR_Unidad de valor real"
"2015/09/05";223,2032;"UVR_Unidad de valor real"
"2015/09/06";223,2169;"UVR_Unidad de valor real"
"2015/09/07";223,2306;"UVR_Unidad de valor real"
"2015/09/08";223,2442;"UVR_Unidad de valor real"
"2015/09/09";223,2579;"UVR_Unidad de valor real"
"2015/09/10";223,2716;"UVR_Unidad de valor real"
"2015/09/11";223,2852;"UVR_Unidad de valor real"
"2015/09/12";223,2989;"UVR_Unidad de valor real"
"2015/09/13";223,3126;"UVR_Unidad de valor real"
"2015/09/14";223,3263;"UVR_Unidad de valor real"
"2015/09/15";223,3399;"UVR_Unidad de valor real"
"2015/09/16";223,3756;"UVR_Unidad de valor real"
"2015/09/17";223,4112;"UVR_Unidad de valor real"
"2015/09/18";223,4469;"UVR_Unidad de valor real"
"2015/09/19";223,4825;"UVR_Unidad de valor real"
"2015/09/20";223,5182;"UVR_Unidad de valor real"
"2015/09/21";223,5539;"UVR_Unidad de valor real"
"2015/09/22";223,5896;"UVR_Unidad de valor real"
"2015/09/23";223,6253;"UVR_Unidad de valor real"
"2015/09/24";223,661;"UVR_Unidad de valor real"
"2015/09/25";223,6967;"UVR_Unidad de valor real"
"2015/09/26";223,7324;"UVR_Unidad de valor real"
"2015/09/27";223,7681;"UVR_Unidad de valor real"
"2015/09/28";223,8038;"UVR_Unidad de valor real"
"2015/09/29";223,8395;"UVR_Unidad de valor real"
"2015/09/30";223,8753;"UVR_Unidad de valor real"
"2015/10/01";223,911;"UVR_Unidad de valor real"
"2015/10/02";223,9468;"UVR_Unidad de valor real"
"2015/10/03";223,9825;"UVR_Unidad de valor real"
"2015/10/04";224,0183;"UVR_Unidad de valor real"
"2015/10/05";224,054;"UVR_Unidad de valor real"
"2015/10/06";224,0898;"UVR_Unidad de valor real"
"2015/10/07";224,1256;"UVR_Unidad de valor real"
"2015/10/08";224,1613;"UVR_Unidad de valor real"
"2015/10/09";224,1971;"UVR_Unidad de valor real"
"2015/10/10";224,2329;"UVR_Unidad de valor real"
"2015/10/11";224,2687;"UVR_Unidad de valor real"
"2015/10/12";224,3045;"UVR_Unidad de valor real"
"2015/10/13";224,3403;"UVR_Unidad de valor real"
"2015/10/14";224,3761;"UVR_Unidad de valor real"
"2015/10/15";224,4119;"UVR_Unidad de valor real"
"2015/10/16";224,4638;"UVR_Unidad de valor real"
"2015/10/17";224,5158;"UVR_Unidad de valor real"
"2015/10/18";224,5678;"UVR_Unidad de valor real"
"2015/10/19";224,6197;"UVR_Unidad de valor real"
"2015/10/20";224,6717;"UVR_Unidad de valor real"
"2015/10/21";224,7237;"UVR_Unidad de valor real"
"2015/10/22";224,7757;"UVR_Unidad de valor real"
